sira	datesk	Item Name	Date	price
348	20130402	Brinjal (R)	14.12.2012	20
349	20130403	Brinjal (R)	15.12.2012	20
350	20130404	Brinjal (R)	16.12.2012	20
351	20130405	Brinjal (R)	17.12.2012	18
352	20130406	Brinjal (R)	18.12.2012	20
353	20130408	Brinjal (R)	19.12.2012	20
354	20130409	Brinjal (R)	20.12.2012	21
355	20130410	Brinjal (R)	21.12.2012	20
356	20130411	Brinjal (R)	22.12.2012	20
357	20130412	Brinjal (R)	23.12.2012	22
358	20130413	Brinjal (R)	24.12.2012	24
359	20130415	Brinjal (R)	25.12.2012	24
360	20130416	Brinjal (R)	26.12.2012	22
361	20130417	Brinjal (R)	27.12.2012	18
362	20130418	Brinjal (R)	28.12.2012	19
363	20130419	Brinjal (R)	29.12.2012	18
364	20130420	Brinjal (R)	30.12.2012	24
365	20130422	Brinjal (R)	31.12.2012	23
366	20130423	Brinjal (R)	1.01.2013	25
367	20130424	Brinjal (R)	2.01.2013	23
368	20130425	Brinjal (R)	3.01.2013	20
369	20130426	Brinjal (R)	4.01.2013	20
370	20130427	Brinjal (R)	5.01.2013	24
371	20130429	Brinjal (R)	6.01.2013	22
372	20130430	Brinjal (R)	7.01.2013	24
373	20130501	Brinjal (R)	8.01.2013	20
374	20130502	Brinjal (R)	9.01.2013	19
375	20130503	Brinjal (R)	10.01.2013	20
376	20130504	Brinjal (R)	11.01.2013	19
377	20130506	Brinjal (R)	12.01.2013	21
378	20130507	Brinjal (R)	13.01.2013	20
379	20130508	Brinjal (R)	14.01.2013	20
380	20130509	Brinjal (R)	15.01.2013	20
381	20130510	Brinjal (R)	16.01.2013	20
382	20130511	Brinjal (R)	17.01.2013	20
383	20130513	Brinjal (R)	18.01.2013	20
384	20130514	Brinjal (R)	19.01.2013	20
385	20130515	Brinjal (R)	20.01.2013	20
386	20130516	Brinjal (R)	21.01.2013	20
387	20130517	Brinjal (R)	22.01.2013	19
388	20130518	Brinjal (R)	23.01.2013	19
389	20130520	Brinjal (R)	24.01.2013	21
390	20130521	Brinjal (R)	25.01.2013	22
391	20130522	Brinjal (R)	26.01.2013	22
392	20130523	Brinjal (R)	27.01.2013	21
393	20130524	Brinjal (R)	28.01.2013	20
394	20130525	Brinjal (R)	29.01.2013	20
395	20130527	Brinjal (R)	30.01.2013	21
396	20130528	Brinjal (R)	31.01.2013	22
397	20130529	Brinjal (R)	1.02.2013	22
398	20130530	Brinjal (R)	2.02.2013	23
399	20130531	Brinjal (R)	3.02.2013	23
400	20130601	Brinjal (R)	4.02.2013	23
401	20130603	Brinjal (R)	5.02.2013	23
402	20130604	Brinjal (R)	6.02.2013	24
403	20130605	Brinjal (R)	7.02.2013	25
404	20130606	Brinjal (R)	8.02.2013	25
405	20130607	Brinjal (R)	9.02.2013	27
406	20130608	Brinjal (R)	10.02.2013	28
407	20130610	Brinjal (R)	11.02.2013	24
408	20130611	Brinjal (R)	12.02.2013	24
409	20130612	Brinjal (R)	13.02.2013	24
410	20130613	Brinjal (R)	14.02.2013	24
411	20130614	Brinjal (R)	15.02.2013	27
412	20130615	Brinjal (R)	16.02.2013	27
413	20130617	Brinjal (R)	17.02.2013	26
414	20130618	Brinjal (R)	18.02.2013	26
415	20130619	Brinjal (R)	19.02.2013	22
416	20130620	Brinjal (R)	20.02.2013	23
417	20130621	Brinjal (R)	21.02.2013	24
418	20130622	Brinjal (R)	22.02.2013	24
419	20130624	Brinjal (R)	23.02.2013	24
420	20130625	Brinjal (R)	24.02.2013	23
421	20130626	Brinjal (R)	25.02.2013	22
422	20130627	Brinjal (R)	26.02.2013	21
423	20130628	Brinjal (R)	27.02.2013	21
424	20130629	Brinjal (R)	28.02.2013	21
425	20130701	Brinjal (R)	1.03.2013	22
426	20130702	Brinjal (R)	2.03.2013	22
427	20130703	Brinjal (R)	3.03.2013	24
428	20130704	Brinjal (R)	4.03.2013	24
429	20130705	Brinjal (R)	5.03.2013	24
430	20130706	Brinjal (R)	6.03.2013	24
431	20130708	Brinjal (R)	7.03.2013	24
